FEN,Evaluation,BestMove
rn2kb1r/pp2npp1/2p1p2p/4Pb2/2PP3P/2N1B3/Pq3PP1/2RQKBNR b Kkq - 2 10,71,a1c1
r3kb1r/pp2npp1/n1p1p2p/4Pb2/2PP3P/2N1B3/Pq3PP1/2RQKBNR w Kkq - 3 11,82,b8a6
r3kb1r/pp2npp1/n1p1p2p/4Pb2/2PP2PP/2N1B3/Pq3P2/2RQKBNR b Kkq - 0 11,75,g2g4
r3kb1r/pp2nppb/n1p1p2p/4P3/2PP2PP/2N1B3/Pq3P2/2RQKBNR w Kkq - 1 12,85,f5h7
r3kb1r/pp2nppb/n1p1p2p/4P3/2PP2PP/2NBB3/Pq3P2/2RQK1NR b Kkq - 2 12,71,f1d3
r3kb1r/pp2npp1/n1p1p2p/4P3/2PP2PP/2NbB3/Pq3P2/2RQK1NR w Kkq - 0 13,67,h7d3
r3kb1r/pp2npp1/n1p1p2p/4P3/2PP2PP/2NQB3/Pq3P2/2R1K1NR b Kkq - 0 13,65,d1d3
r3kb1r/pp2npp1/n1p1p3/4P2p/2PP2PP/2NQB3/Pq3P2/2R1K1NR w Kkq - 0 14,67,h6h5
r3kb1r/pp2npp1/n1p1p3/4P2p/2PP2PP/2NQB3/Pq3P2/1R2K1NR b Kkq - 1 14,67,c1b1
r3kb1r/pp2npp1/2p1p3/4P2p/1nPP2PP/2NQB3/Pq3P2/1R2K1NR w Kkq - 2 15,72,a6b4
r3kb1r/pp2npp1/2p1p3/4P2p/1nPP2PP/2N1B3/Pq1Q1P2/1R2K1NR b Kkq - 3 15,76,d3d2
r3kb1r/pp2npp1/2p1p3/4P2p/1nPP2PP/2N1B3/P2q1P2/1R2K1NR w Kkq - 0 16,61,b2d2
r3kb1r/pp2npp1/2p1p3/4P2p/1nPP2PP/2N1B3/P2K1P2/1R4NR b kq - 0 16,60,e1d2
2kr1b1r/pp2npp1/2p1p3/4P2p/1nPP2PP/2N1B3/P2K1P2/1R4NR w - - 1 17,62,e8c8
2kr1b1r/pp2npp1/2p1p3/4P2p/1nPPN1PP/4B3/P2K1P2/1R4NR b - - 2 17,52,c3e4
2kr1b1r/pp3pp1/2p1p1n1/4P2p/1nPPN1PP/4B3/P2K1P2/1R4NR w - - 3 18,54,e7g6
2kr1b1r/pp3pp1/2p1p1n1/2P1P2p/1n1PN1PP/4B3/P2K1P2/1R4NR b - - 0 18,52,c4c5
2kr1b1r/pp3pp1/2p1p1n1/2PnP2p/3PN1PP/4B3/P2K1P2/1R4NR w - - 1 19,51,b4d5
2kr1b1r/pp3pp1/2p1p1n1/2PnP1Pp/3PN2P/4B3/P2K1P2/1R4NR b - - 0 19,42,g4g5
2kr1b1r/p4pp1/1pp1p1n1/2PnP1Pp/3PN2P/4B3/P2K1P2/1R4NR w - - 0 20,48,b7b6
2kr1b1r/p4pp1/1pp1p1n1/2PnP1Pp/3PN2P/4BN2/P2K1P2/1R5R b - - 1 20,46,g1f3
3r1b1r/p2k1pp1/1pp1p1n1/2PnP1Pp/3PN2P/4BN2/P2K1P2/1R5R w - - 2 21,42,c8d7
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,37,e2e4
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,43,e7e5
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,37,g1f3
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,34,b8c6
r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,42,f1b5
r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,36,g8f6
r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 5 4,31,e1g1
r1bqkb1r/pppp1ppp/2n5/1B2p3/4n3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 0 5,37,f6e4
r1bqkb1r/pppp1ppp/2n5/1B2p3/4n3/5N2/PPPP1PPP/RNBQR1K1 b kq - 1 5,32,f1e1
r1bqkb1r/pppp1ppp/2nn4/1B2p3/8/5N2/PPPP1PPP/RNBQR1K1 w kq - 2 6,30,e4d6
r1bqkb1r/pppp1ppp/2nn4/1B2N3/8/8/PPPP1PPP/RNBQR1K1 b kq - 0 6,26,f3e5
r1bqk2r/ppppbppp/2nn4/1B2N3/8/8/PPPP1PPP/RNBQR1K1 w kq - 1 7,28,f8e7
r1bqk2r/ppppbppp/2nn4/4N3/8/8/PPPP1PPP/RNBQRBK1 b kq - 2 7,27,b5f1
r1bqk2r/ppppbppp/3n4/4n3/8/8/PPPP1PPP/RNBQRBK1 w kq - 0 8,30,c6e5
r1bqk2r/ppppbppp/3n4/4R3/8/8/PPPP1PPP/RNBQ1BK1 b kq - 0 8,31,e1e5
r1bq1rk1/ppppbppp/3n4/4R3/8/8/PPPP1PPP/RNBQ1BK1 w - - 1 9,32,e8g8
r1bq1rk1/ppppbppp/3n4/4R3/3P4/8/PPP2PPP/RNBQ1BK1 b - - 0 9,32,d2d4
r1bq1rk1/pppp1ppp/3n1b2/4R3/3P4/8/PPP2PPP/RNBQ1BK1 w - - 1 10,40,e7f6
r1bq1rk1/pppp1ppp/3n1b2/8/3P4/8/PPP2PPP/RNBQRBK1 b - - 2 10,36,e5e1
r1bq1rk1/pppp1ppp/5b2/5n2/3P4/8/PPP2PPP/RNBQRBK1 w - - 3 11,40,d6f5
r1bq1rk1/pppp1ppp/5b2/5n2/3P4/2P5/PP3PPP/RNBQRBK1 b - - 0 11,37,c2c3
r1bq1rk1/ppp2ppp/5b2/3p1n2/3P4/2P5/PP3PPP/RNBQRBK1 w - - 0 12,36,d7d5
r1bq1rk1/ppp2ppp/5b2/3p1n2/3P4/2PB4/PP3PPP/RNBQR1K1 b - - 1 12,31,f1d3
r1bq1rk1/pp3ppp/2p2b2/3p1n2/3P4/2PB4/PP3PPP/RNBQR1K1 w - - 0 13,26,c7c6
r1bq1rk1/pp3ppp/2p2b2/3p1n2/P2P4/2PB4/1P3PPP/RNBQR1K1 b - - 0 13,27,a2a4
r1bq1rk1/1p3ppp/2p2b2/p2p1n2/P2P4/2PB4/1P3PPP/RNBQR1K1 w - - 0 14,23,a7a5
r1bq1rk1/1p3ppp/2p2b2/p2p1n2/P2P1B2/2PB4/1P3PPP/RN1QR1K1 b - - 1 14,30,c1f4
r1bq1rk1/1p3ppp/2p5/p2p1nb1/P2P1B2/2PB4/1P3PPP/RN1QR1K1 w - - 2 15,34,f6g5
r1bq1rk1/1p3ppp/2p5/p2p1nB1/P2P4/2PB4/1P3PPP/RN1QR1K1 b - - 0 15,23,f4g5
r1b2rk1/1p3ppp/2p5/p2p1nq1/P2P4/2PB4/1P3PPP/RN1QR1K1 w - - 0 16,7,d8g5
r1b2rk1/1p3ppp/2p5/p2p1nq1/P2P4/2PB4/1P1Q1PPP/RN2R1K1 b - - 1 16,9,d1d2
r1b2rk1/1p3ppp/2p5/p2p1n2/P2P4/2PB4/1P1q1PPP/RN2R1K1 w - - 0 17,7,g5d2
r1b2rk1/1p3ppp/2p5/p2p1n2/P2P4/2PB4/1P1N1PPP/R3R1K1 b - - 0 17,4,b1d2
r1b2rk1/1p3ppp/2pn4/p2p4/P2P4/2PB4/1P1N1PPP/R3R1K1 w - - 1 18,10,f5d6
r1b2rk1/1p3ppp/2pn4/p2pR3/P2P4/2PB4/1P1N1PPP/R5K1 b - - 2 18,7,e1e5
r1b2rk1/1p4pp/2pn1p2/p2pR3/P2P4/2PB4/1P1N1PPP/R5K1 w - - 0 19,9,f7f6
r1b2rk1/1p4pp/2pn1p2/p2p4/P2P4/2PB4/1P1NRPPP/R5K1 b - - 1 19,10,e5e2
r4rk1/1p1b2pp/2pn1p2/p2p4/P2P4/2PB4/1P1NRPPP/R5K1 w - - 2 20,16,c8d7
r4rk1/1p1b2pp/2pn1p2/p2p4/P2P4/2PB4/1P1NRPPP/4R1K1 b - - 3 20,14,a1e1
r3r1k1/1p1b2pp/2pn1p2/p2p4/P2P4/2PB4/1P1NRPPP/4R1K1 w - - 4 21,13,f8e8
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,36,e2e4
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,42,e7e5
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,32,g1f3
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,33,b8c6
r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,35,d2d4
r1bqkbnr/pppp1ppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,31,e5d4
r1bqkbnr/pppp1ppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,28,f3d4
r1bqkb1r/pppp1ppp/2n2n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,24,g8f6
r1bqkb1r/pppp1ppp/2N2n2/8/4P3/8/PPP2PPP/RNBQKB1R b KQkq - 0 5,22,d4c6
r1bqkb1r/p1pp1ppp/2p2n2/8/4P3/8/PPP2PPP/RNBQKB1R w KQkq - 0 6,24,b7c6
r1bqkb1r/p1pp1ppp/2p2n2/8/4P3/3B4/PPP2PPP/RNBQK2R b KQkq - 1 6,20,f1d3
r1bqkb1r/p1p2ppp/2p2n2/3p4/4P3/3B4/PPP2PPP/RNBQK2R w KQkq - 0 7,16,d7d5
r1bqkb1r/p1p2ppp/2p2n2/3p4/4P3/3B4/PPP1QPPP/RNB1K2R b KQkq - 1 7,6,d1e2
r1bqkb1r/p1p2ppp/2p2n2/8/4p3/3B4/PPP1QPPP/RNB1K2R w KQkq - 0 8,-1,d5e4
r1bqkb1r/p1p2ppp/2p2n2/8/4p3/3B4/PPPNQPPP/R1B1K2R b KQkq - 1 8,-30,b1d2
r1bqk2r/p1p2ppp/2p2n2/8/1b2p3/3B4/PPPNQPPP/R1B1K2R w KQkq - 2 9,-31,f8b4
r1bqk2r/p1p2ppp/2p2n2/8/1b2B3/8/PPPNQPPP/R1B1K2R b KQkq - 0 9,-80,d3e4
r1bq1rk1/p1p2ppp/2p2n2/8/1b2B3/8/PPPNQPPP/R1B1K2R w KQ - 1 10,-55,e8g8
r1bq1rk1/p1p2ppp/2B2n2/8/1b6/8/PPPNQPPP/R1B1K2R b KQ - 0 10,-215,e4c6
r2q1rk1/pbp2ppp/2B2n2/8/1b6/8/PPPNQPPP/R1B1K2R w KQ - 1 11,-221,c8b7
r2q1rk1/pBp2ppp/5n2/8/1b6/8/PPPNQPPP/R1B1K2R b KQ - 0 11,-194,c6b7
r2qr1k1/pBp2ppp/5n2/8/1b6/8/PPPNQPPP/R1B1K2R w KQ - 1 12,-243,f8e8
B2qr1k1/p1p2ppp/5n2/8/1b6/8/PPPNQPPP/R1B1K2R b KQ - 0 12,-240,b7a8
q3r1k1/p1p2ppp/5n2/8/1b6/8/PPPNQPPP/R1B1K2R w KQ - 0 13,-250,d8a8
q3r1k1/p1p2ppp/5n2/8/1b6/5P2/PPPNQ1PP/R1B1K2R b KQ - 0 13,-233,f2f3
q3r1k1/p1p2ppp/8/3n4/1b6/5P2/PPPNQ1PP/R1B1K2R w KQ - 1 14,-263,f6d5
q3r1k1/p1p2ppp/8/3n4/1b6/2P2P2/PP1NQ1PP/R1B1K2R b KQ - 0 14,-266,c2c3
q5k1/p1p2ppp/8/3n4/1b6/2P2P2/PP1Nr1PP/R1B1K2R w KQ - 0 15,-261,e8e2
q5k1/p1p2ppp/8/3n4/1b6/2P2P2/PP1NK1PP/R1B4R b - - 0 15,-261,e1e2
4q1k1/p1p2ppp/8/3n4/1b6/2P2P2/PP1NK1PP/R1B4R w - - 1 16,-257,a8e8
4q1k1/p1p2ppp/8/3n4/1b2N3/2P2P2/PP2K1PP/R1B4R b - - 2 16,-256,d2e4
4q1k1/p1p3pp/8/3n1p2/1b2N3/2P2P2/PP2K1PP/R1B4R w - - 0 17,-258,f7f5
4q1k1/p1p3pp/8/3n1p2/1P2N3/5P2/PP2K1PP/R1B4R b - - 0 17,-288,c3b4
4q1k1/p1p3pp/8/3n4/1P2p3/5P2/PP2K1PP/R1B4R w - - 0 18,-289,f5e4
4q1k1/p1p3pp/8/3n4/1P2P3/8/PP2K1PP/R1B4R b - - 0 18,-294,f3e4
6k1/p1p3pp/8/3n4/1P2q3/8/PP2K1PP/R1B4R w - - 0 19,-288,e8e4
6k1/p1p3pp/8/3n4/1P2q3/8/PP3KPP/R1B4R b - - 1 19,-313,e2f2
6k1/p1p3pp/8/3n4/1P5q/8/PP3KPP/R1B4R w - - 2 20,-273,e4h4
6k1/p1p3pp/8/3n4/1P5q/5K2/PP4PP/R1B4R b - - 3 20,-296,f2f3
6k1/p1p3pp/8/8/1n5q/5K2/PP4PP/R1B4R w - - 0 21,-281,d5b4
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,34,e2e4
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,31,e7e5
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,30,g1f3
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,33,b8c6
r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,29,f1b5
r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,36,a7a6
r1bqkbnr/1ppp1ppp/p1n5/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 4,18,b5a4
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 5,20,g8f6
